Date,High,Low,Open,Close,Volume,Adj Close
02/01/1990,359.6900024,351.980011,353.3999939,359.6900024,162070000,359.6900024
03/01/1990,360.5899963,357.8900146,359.6900024,358.7600098,192330000,358.7600098
04/01/1990,358.7600098,352.8900146,358.7600098,355.6700134,177000000,355.6700134
05/01/1990,355.6700134,351.3500061,355.6700134,352.2000122,158530000,352.2000122
08/01/1990,354.2399902,350.5400085,352.2000122,353.7900085,140110000,353.7900085
09/01/1990,354.1700134,349.6099854,353.8299866,349.6199951,155210000,349.6199951
10/01/1990,349.6199951,344.3200073,349.6199951,347.3099976,175990000,347.3099976
11/01/1990,350.1400146,347.3099976,347.3099976,348.5299988,154390000,348.5299988
12/01/1990,348.5299988,339.4899902,348.5299988,339.9299927,183880000,339.9299927
15/01/1990,339.9400024,336.5700073,339.9299927,337,140590000,337
16/01/1990,340.75,333.3699951,337,340.75,186070000,340.75
17/01/1990,342.0100098,336.2600098,340.769989,337.3999939,170470000,337.3999939
18/01/1990,338.3800049,333.980011,337.3999939,338.1900024,178590000,338.1900024
19/01/1990,340.480011,338.1900024,338.1900024,339.1499939,185590000,339.1499939
22/01/1990,339.9599915,330.2799988,339.1400146,330.3800049,148380000,330.3800049
23/01/1990,332.7600098,328.6700134,330.3800049,331.6099854,179300000,331.6099854
24/01/1990,331.7099915,324.1700134,331.6099854,330.2600098,207830000,330.2600098
25/01/1990,332.3299866,325.3299866,330.2600098,326.0799866,172270000,326.0799866
26/01/1990,328.5799866,321.4400024,326.0899963,325.7999878,198190000,325.7999878
29/01/1990,327.3099976,321.7900085,325.7999878,325.2000122,150770000,325.2000122
30/01/1990,325.730011,319.8299866,325.2000122,322.980011,186030000,322.980011
31/01/1990,329.0799866,322.980011,322.980011,329.0799866,189660000,329.0799866
01/02/1990,329.8599854,327.7600098,329.0799866,328.7900085,154580000,328.7900085
02/02/1990,332.1000061,328.0899963,328.7900085,330.9200134,164400000,330.9200134
05/02/1990,332.1600037,330.4500122,330.9200134,331.8500061,130950000,331.8500061
06/02/1990,331.8599854,328.2000122,331.8500061,329.6600037,134070000,329.6600037
