Date,S&P500_ETF,NASDAQ,S&P_100,Russel_2000,VIX
2014-12-01,205.75999450683594,4727.35009765625,910.739990234375,1154.050048828125,14.15999984741211
2014-12-02,207.08999633789062,4755.81005859375,916.5800170898438,1168.449951171875,12.850000381469727
2014-12-03,207.88999938964844,4774.47021484375,918.6199951171875,1179.010009765625,12.5
2014-12-04,207.66000366210938,4769.43994140625,917.75,1173.010009765625,12.380000114440918
2014-12-05,208.0,4780.759765625,919.6599731445312,1182.4300537109375,11.890000343322754
2014-12-08,206.61000061035156,4740.68994140625,912.97998046875,1167.2099609375,14.210000038146973
2014-12-09,206.47000122070312,4766.47021484375,911.77001953125,1188.06005859375,15.350000381469727
2014-12-10,203.16000366210938,4684.02001953125,897.6199951171875,1161.8599853515625,18.530000686645508
2014-12-11,204.19000244140625,4708.16015625,901.1900024414062,1166.9599609375,20.079999923706055
2014-12-12,200.88999938964844,4653.60009765625,885.8800048828125,1152.43994140625,21.079999923706055
2014-12-15,199.50999450683594,4605.16015625,879.6599731445312,1140.300048828125,20.420000076293945
2014-12-16,197.91000366210938,4547.830078125,871.6799926757812,1139.3699951171875,23.56999969482422
2014-12-17,201.7899932861328,4644.31005859375,888.6699829101562,1174.8399658203125,19.440000534057617
2014-12-18,206.77999877929688,4748.39990234375,911.510009765625,1192.1600341796875,16.809999465942383
2014-12-19,206.52000427246094,4765.3798828125,915.22998046875,1195.9599609375,16.489999771118164
2014-12-22,207.47000122070312,4781.419921875,918.5700073242188,1201.8599853515625,15.25
2014-12-23,207.75,4765.419921875,919.9600219726562,1202.43994140625,14.800000190734863
2014-12-24,207.77000427246094,4773.47021484375,919.3699951171875,1206.780029296875,14.369999885559082
2014-12-26,208.44000244140625,4806.85986328125,922.47998046875,1215.2099609375,14.5
2014-12-29,208.72000122070312,4806.91015625,922.1900024414062,1219.1099853515625,15.0600004196167
2014-12-30,207.60000610351562,4777.43994140625,918.1199951171875,1213.050048828125,15.920000076293945
2014-12-31,205.5399932861328,4736.0498046875,908.3800048828125,1204.699951171875,19.200000762939453
2015-01-02,205.42999267578125,4726.81005859375,907.5,1198.800048828125,17.790000915527344
2015-01-05,201.72000122070312,4652.56982421875,891.0399780273438,1181.3499755859375,19.920000076293945
2015-01-06,199.82000732421875,4592.740234375,883.9600219726562,1161.31005859375,21.1200008392334
2015-01-07,202.30999755859375,4650.47021484375,893.5999755859375,1175.969970703125,19.309999465942383
2015-01-08,205.89999389648438,4736.18994140625,909.8699951171875,1196.1300048828125,17.010000228881836
2015-01-09,204.25,4704.06982421875,902.1300048828125,1185.6800537109375,17.549999237060547
2015-01-12,202.64999389648438,4664.7099609375,895.239990234375,1180.0899658203125,19.600000381469727
2015-01-13,202.0800018310547,4661.5,892.9299926757812,1180.6400146484375,20.559999465942383
2015-01-14,200.86000061035156,4639.31982421875,887.3599853515625,1177.06005859375,21.479999542236328
2015-01-15,199.02000427246094,4570.81982421875,878.3300170898438,1154.7099609375,22.389999389648438
2015-01-16,201.6300048828125,4634.3798828125,889.7999877929688,1176.6500244140625,20.950000762939453
2015-01-20,202.05999755859375,4654.85009765625,891.6099853515625,1170.25,19.889999389648438
2015-01-21,203.0800018310547,4667.419921875,894.5,1166.25,18.850000381469727
2015-01-22,206.10000610351562,4750.39990234375,908.8800048828125,1190.3699951171875,16.399999618530273
2015-01-23,204.97000122070312,4757.8798828125,903.1400146484375,1188.9300537109375,16.65999984741211
2015-01-26,205.4499969482422,4771.759765625,904.510009765625,1200.739990234375,15.520000457763672
2015-01-27,202.74000549316406,4681.5,888.989990234375,1194.6600341796875,17.219999313354492
2015-01-28,200.13999938964844,4637.990234375,877.4600219726562,1175.1199951171875,20.440000534057617
2015-01-29,201.99000549316406,4683.41015625,886.3599853515625,1190.1800537109375,18.760000228881836
2015-01-30,199.4499969482422,4635.240234375,875.7999877929688,1165.3900146484375,20.969999313354492
2015-02-02,201.9199981689453,4676.68994140625,888.3099975585938,1175.510009765625,19.43000030517578
2015-02-03,204.83999633789062,4727.740234375,900.9199829101562,1196.989990234375,17.329999923706055
2015-02-04,204.05999755859375,4716.7001953125,897.1199951171875,1191.43994140625,18.329999923706055
2015-02-05,206.1199951171875,4765.10009765625,906.02001953125,1208.7099609375,16.850000381469727
2015-02-06,205.5500030517578,4744.39990234375,904.0599975585938,1205.4599609375,17.290000915527344
2015-02-09,204.6300048828125,4726.009765625,900.7100219726562,1195.8299560546875,18.549999237060547
2015-02-10,206.80999755859375,4787.64013671875,909.72998046875,1203.1800537109375,17.229999542236328
2015-02-11,206.92999267578125,4801.18017578125,910.97998046875,1201.550048828125,16.959999084472656
2015-02-12,208.9199981689453,4857.60986328125,919.6900024414062,1216.27001953125,15.34000015258789
2015-02-13,209.77999877929688,4893.83984375,923.4299926757812,1223.1300048828125,14.6899995803833
2015-02-17,210.11000061035156,4899.27001953125,924.97998046875,1225.010009765625,15.800000190734863
2015-02-18,210.1300048828125,4906.35986328125,923.1699829101562,1227.949951171875,15.449999809265137
2015-02-19,209.97999572753906,4924.7001953125,921.3400268554688,1227.9100341796875,15.289999961853027
2015-02-20,211.24000549316406,4955.97021484375,926.6300048828125,1231.7900390625,14.300000190734863
2015-02-23,211.2100067138672,4960.97021484375,926.530029296875,1231.8299560546875,14.5600004196167
2015-02-24,211.80999755859375,4968.1201171875,930.2100219726562,1233.97998046875,13.6899995803833
2015-02-25,211.6300048828125,4967.14013671875,929.4299926757812,1235.0999755859375,13.84000015258789
